"","CardName","Issuer","Program","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img"
"1","US Bank Altitude Reserve Visa Infinite Card","US","FlexPoints","http://mycard.usbank.com/credit/teamsite/html/altitude_reserve.html","delete",0,0,0,0,0,400,0,"https://www.usbank.com//images/Credit_Cards_110x170/usbank_altitude_110x70.png?123"
"3","US Bank Visa Platinum Card","US","FlexPoints","http://mycard.usbank.com/platinumvisa","With Platinum, you get a special 0% introductory APR* on purchases and balance transfers for 15 billing cycles and thereafter, a variable APR, currently 10.74% - 22.74%.",0,0,0,0,0,400,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_Platinum.png"
"5","US Bank Cash American Express Card","US","American","http://mycard.usbank.com/cash365Amex","The U.S. Bank Cash 365™ American Express® Card offers you 1.5% cash back1 on everyday eligible net purchases.2",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/cash_365_110_70.png"
"6","US Bank Cash+ Visa Signature Card","US","FlexPoints","http://mycard.usbank.com/cashplus","delete",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/USB_Cash_Plus_Visa_110_70.png"
"10","US Bank FlexPerks Travel Rewards Visa Signature Card","US","FlexPerks","http://mycard.usbank.com/flexperksvisa","With the FlexPerks® Travel Rewards Visa Signature® Card, you can earn 20,000 enrollment FlexPoints after you spend $2,000 in the first four months of account opening.1",0,20000,0,0,1,49,2000,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_FlexPerks_Travel_signature.png?123"
"11","US Bank FlexPerks Gold American Express Card","US","FlexPerks","http://mycard.usbank.com/flexperksgoldamex","With the new U.S. Bank FlexPerks® Gold American Express® Card, you earn premium rewards such as 3x points at restaurants1 and 2X points at gas stations2 and at airlines2 - which will help you reach your next travel experience that much quicker.",0,0,0,0,0,85,0,"https://www.usbank.com//images/Credit_Cards_110x170/Gold_Amex_110_70.png"
"12","US Bank FlexPerks Select+ American Express Card","US","FlexPerks","https://www.usbank.com/credit-cards/flexperks-select-plus-american-express-card.html","Earn 10,000 enrollment FlexPoints with a new FlexPerks Select+ Card after you spend $1,000 in eligible Net Purchases on your Card within the first four months of account opening.1",0,10000,0,0,0,0,1000,"https://www.usbank.com//images/credit-card/110x70-select.png"
"13","REWARDS Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/1-2-3-rewards-visa-credit-card.html","Get unlimited rewards at Kroger, King Soopers, City Market, Dillons, Baker's, Smith's, Fry's and QFC.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_S_1-2-3Rewards.jpg"
"14","Ace Rewards Visa Signature Card","US","FlexPoints","https://www.usbank.comace-rewards-visa-credit-card.html","delete",0,0,0,0,0,0,0,"https://www.usbank.com//images/credit-card/ACE_110x70.png"
"15","Fred Meyer Rewards Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/fred-meyer-rewards-visa-credit-card.html","Earn Rewards and save up to $1.25 off a gallon of fuel for ONE YEAR!3",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/reward_fredMeyer_card_S.jpg"
"16","Gymboree Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/gymboree-visa-credit-card.html","You'll receive a 5% discount instantly on all Gymboree clothing store purchases.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_gymboree.png"
"17","Harley Davidson Visa Signature Card","US","FlexPoints","https://www.usbank.com/credit-cards/harley-davidson-visa-signature-credit-card.html","The H-D™ Visa Signature® card helps you earn more rewards faster. It comes with benefits that make it a classic through and through.",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_HD_sig.png?6-15"
"18","Polaris Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/polaris-visa-credit-card.html","Get started with 0% Intro APR1 on purchase and balance transfers for 12 billing cycles. After that, a variable APR currently 14.74% - 23.74%1. Use your Polaris Visa Card for anything at your dealership – even service – and earn Polaris Cash!",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_Polaris.png"
"19","Ralphs Rewards Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/ralphs-rewards-plus-visa-credit-card.html","Everyday rewards for everyday shopping when you use the Ralphs Rewards Visa® Card",0,0,0,0,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_S_Ralphs.jpg"
"20","REI Co op Mastercard","US","FlexPoints","https://www.usbank.com/credit-cards/rei-mastercard.html","The REI Co-op Mastercard is the only credit card that helps you get a bigger REI dividend and gives back to the outdoors. Everyday purchases increase your dividend when you use your REI Co-op Mastercard.",0,0,0,1,0,0,0,"https://www.usbank.com//images/credit-card/110x70-REI-r.png"
"22","AeroMexico Visa Signature Card","US","FlexPoints","https://www.usbank.com/credit-cards/aeromexico-visa-signature-credit-card.html?ics_src=19649","Receive 20,000 bonus miles after your first card use.1",0,20000,0,0,1,80,0,"https://www.usbank.com//images/credit-card/aeromexico_sig_110_70.png?6-15"
"23","AeroMexico Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/aeromexico-visa-credit-card.html?ics_src=19649","Receive 15,000 bonus miles after your first card use.1",0,15000,0,0,1,45,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15"
"24","Club Carlson Premier Rewards Visa Signature Card","US","Club Carlson","https://www.usbank.com/credit-cards/club-carlson-premier-rewards-visa-signature-credit-card.html","Earn 85,000 Bonus Gold Points after you spend $2,500 on your card in the first 90 days",0,85000,0,0,0,75,2500,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_CC_sig.png?1484"
"25","Club Carlson Rewards Visa Signature Card","US","Club Carlson","https://www.usbank.com/credit-cards/club-carlson-rewards-visa-signature-credit-card.html","Earn 60,000 Bonus Gold Points after you spend $1,500 on your card in the first 90 days",0,60000,0,0,0,50,1500,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_CC_sig.png?489"
"26","Club Carlson Rewards Visa Card","US","Club Carlson","https://www.usbank.com/credit-cards/club-carlson-rewards-visa-credit-card.html","Earn 30,000 Bonus Gold Points after you spend $1,000 on your card in the first 90 days",0,30000,0,0,0,0,1000,"https://www.usbank.com//images/Credit_Cards_110x170/club_carlson_rewards_visa_card.png?1484"
"27","LANPASS Visa Signature Card","US","FlexPoints","https://www.usbank.com/credit-cards/lanpass-visa-signature-credit-card.html","Earn 20,000 bonus miles after your first card use.1",0,20000,0,0,1,75,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_LANPass_sig.png?875498"
"28","LANPASS Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/lanpass-visa-credit-card.html","Earn 15,000 Bonus Miles after your first card use.1",0,15000,0,0,1,45,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_LANPass.png?87128"
"29","SKYPASS Visa Signature Card","US","FlexPoints","https://www.usbank.com/credit-cards/skypass-visa-signature-credit-card.html","Earn 15,000 SKYPASS Bonus Miles after your first purchase.1",0,15000,0,0,0,80,0,"https://www.usbank.com//images/credit-card/skypass-visa-signature-compare.png"
"30","SkyBlue SKYPASS Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/skyblue-skypass-visa-credit-card.html","Earn 5,000 SKYPASS Bonus Miles after your first purchase.1",0,5000,0,0,0,0,0,"https://www.usbank.com//images/credit-card/skyblue-skypass-visa-compare.png"
"31","SKYPASS Visa Classic Card","US","FlexPoints","https://www.usbank.com/credit-cards/skypass-visa-classic-credit-card.html","Earn 5,000 SKYPASS Bonus Miles after your first purchase.1",0,5000,0,0,0,50,0,"https://www.usbank.com//images/credit-card/skypass-visa-classic-compare.png"
"32","US Bank Secured Visa Card","US","FlexPoints","https://www.usbank.com/credit-cards/secured-card.html","Get worldwide purchasing power and flexibility as you work to build or re-establish your credit history.1",0,0,0,1,0,29,0,"https://www.usbank.com//images/credit-card/usbank-compare.png"
"34","AeroMexico Visa Secured Card","US","FlexPoints","https://www.usbank.com/credit-cards/aeromexico-visa-secured-credit-card.html?ics_src=19649","Receive 5,000 bonus miles after your first card use.2",0,5000,0,0,1,25,0,"https://www.usbank.com//images/credit-card/aeromexico_plat_110_70.png?6-15"
"35","Harley Davidson Visa Secured Card","US","FlexPoints","https://www.usbank.com/credit-cards/harley-davidson-visa-secured-credit-card.html","If you’re looking to earn H-D™ Genuine Rewards points while you build or re-establish your credit history,1 the Harley-Davidson® Secured Card is for you.",0,0,0,1,0,0,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_HD_sec.png?6-15"
"36","LANPASS Visa Secured Card","US","FlexPoints","https://www.usbank.com/credit-cards/lanpass-visa-secured-credit-card.html","Earn 5,000 Bonus Miles after your first card use.2",0,5000,0,0,1,25,0,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_LANPass_sec.png?87647"
"37","SKYPASS Visa Secured Card","US","FlexPoints","https://www.usbank.com/credit-cards/skypass-visa-secured-credit-card.html","Earn 5,000 Bonus Miles after your first purchase.2",0,5000,0,0,0,50,0,"https://www.usbank.com//images/credit-card/skypass-visa-classic-compare.png"
